case_id,split,family,decision_type,expected_route,predicted_route,route_correct,dangerous_escalation,route_confidence,route_margin,ambiguous_probability,repository_work_probability,missing_repository_profile_probability,assistant_tool_need_probability,duration_ms,input_tokens,output_tokens,estimated_cost_usd,error,request_text
chat-007,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.07,0.01,252.73733297945,1452,118,6.0984e-05,,Show a simple example of a SQL LEFT JOIN.
assistant-007,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.22,0.01,0.06,0.98,274.75287500419654,1452,118,6.0984e-05,,Schedule a reminder tomorrow evening to practice SQL joins.
developer-007,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.22,0.98,0.14,0.01,281.2373749911785,1470,118,6.174e-05,,"In demo-repo, fix the SQL query in reports.py that drops rows without matching owners."
chat-008,holdout,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.12,0.02,0.09,0.01,296.98179199476726,1453,118,6.1026e-05,,Give me a concise logging checklist for a Python service.
assistant-008,holdout,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.14,0.01,0.08,0.98,248.06095799431205,1459,118,6.1278e-05,,Remind me Friday at 10:00 to review our logging checklist.
developer-008,holdout,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.27,0.95,0.36,0.02,251.11141699017026,1466,118,6.1572e-05,,"In safeplane, add structured logging around routing-advisor model calls."
chat-009,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.05,0.01,321.55054100439884,1458,118,6.1236e-05,,What is the difference between list[str] and Sequence[str] in Python typing?
assistant-009,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.17,0.01,0.06,0.98,277.28249999927357,1452,118,6.0984e-05,,Add a reminder for tonight to revise Python typing.
developer-009,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.25,0.96,0.93,0.01,309.57437498727813,1464,118,6.1488e-05,,"In demo-repo, replace the overly concrete list[str] parameter with an appropriate Sequence type and update tests."
chat-010,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.14,0.04,0.53,0.01,322.5506669841707,1453,118,6.1026e-05,,Give me a good structure for an open-source README.
assistant-010,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.24,0.34,0.59,0.98,298.9640830201097,1453,118,6.1026e-05,,Remind me Saturday morning to review my project README.
developer-010,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.32,0.98,0.27,0.01,316.59133298671804,1469,118,6.1698e-05,,Inspect safeplane's README and update the routing section to match the implemented CLI behavior.
chat-011,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.07,0.01,332.30620899121277,1455,118,6.111e-05,,Explain what idempotency means for an API endpoint.
assistant-011,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.15,0.02,0.09,0.98,261.62775000557303,1461,118,6.1362e-05,,Schedule a reminder at 11:00 tomorrow to review API idempotency.
developer-011,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.27,0.98,0.14,0.02,268.9651669934392,1473,118,6.1866e-05,,"In demo-repo, make the POST /jobs retry path idempotent and add a regression test."
chat-012,holdout,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.06,0.01,347.7539580198936,1458,118,6.1236e-05,,Explain why additionalProperties=false is useful in JSON Schema.
assistant-012,holdout,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.14,0.01,0.06,0.98,264.48333301232196,1458,118,6.1236e-05,,Remind me at 20:00 to review JSON Schema notes.
developer-012,holdout,minimal_pair,decisive,developer,developer,True,False,0.96,0.94,0.23,0.86,0.76,0.02,311.102125007892,1460,118,6.132e-05,,"In safeplane, tighten the JSON schema for the developer result so unknown fields are rejected."
chat-013,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.1,0.01,294.33712500031106,1453,118,6.1026e-05,,Explain what a GitHub Actions matrix build is.
assistant-013,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.2,0.02,0.09,0.98,345.80604097573087,1455,118,6.111e-05,,Put a reminder on Tuesday morning to learn GitHub Actions matrices.
developer-013,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.22,0.97,0.2,0.01,391.0170829913113,1472,118,6.1824e-05,,"In demo-repo, add Python 3.12 to the existing GitHub Actions test matrix."
chat-014,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.09,0.02,0.06,0.01,326.5908750181552,1454,118,6.1068e-05,,Explain cache invalidation with a simple example.
assistant-014,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.24,0.01,0.1,0.98,302.7942920161877,1454,118,6.1068e-05,,Remind me tomorrow at lunch to read my cache notes.
developer-014,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.32,0.94,0.13,0.02,345.23512501618825,1467,118,6.1614e-05,,"In safeplane, fix the stale workflow-registry cache after configuration reload."
chat-015,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.11,0.02,0.06,0.01,400.4485420009587,1453,118,6.1026e-05,,Explain asyncio.gather versus TaskGroup.
assistant-015,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.15,0.01,0.06,0.98,276.9399999815505,1456,118,6.1152e-05,,Schedule a reminder at 19:00 to practice asyncio.
developer-015,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.28,0.97,0.94,0.01,313.84666697704233,1464,118,6.1488e-05,,"In demo-repo, refactor the concurrent fetch loop to TaskGroup while preserving behavior and tests."
chat-016,holdout,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.16,0.02,0.08,0.01,341.7683329898864,1451,118,6.0942e-05,,Explain semantic routing versus deterministic command routing.
assistant-016,holdout,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.2,0.02,0.08,0.97,666.2487079738639,1454,118,6.1068e-05,,Remind me tomorrow morning to think about semantic routing thresholds.
developer-016,holdout,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.41,0.97,0.22,0.02,313.5648329916876,1469,118,6.1698e-05,,"In safeplane, add the isolated semantic routing experiment described in docs/ideas.md."
chat-017,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.06,0.01,285.5372499907389,1451,118,6.0942e-05,,Show me how YAML anchors and aliases work.
assistant-017,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.13,0.02,0.09,0.98,340.9145830082707,1457,118,6.1194e-05,,Set a reminder for 17:00 to review YAML anchors.
developer-017,calibration,minimal_pair,decisive,developer,developer,True,False,0.98,0.98,0.23,0.88,0.09,0.02,309.8048339888919,1469,118,6.1698e-05,,"In safeplane, simplify duplicate YAML tool lists using an anchor without changing the loaded structure."
chat-018,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.12,0.02,0.06,0.01,364.9383749871049,1454,118,6.1068e-05,,Explain why storing UTC and rendering local time is common.
assistant-018,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.14,0.02,0.08,0.98,371.80945801083,1460,118,6.132e-05,,Add a calendar event tomorrow at 08:30 called 'Check timezone handling'.
developer-018,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.24,0.95,0.94,0.03,348.7944589869585,1465,118,6.153e-05,,"In safeplane, fix the timezone conversion bug in the calendar MCP and add a test for Europe/Berlin."
chat-019,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.09,0.02,0.06,0.01,306.1862910108175,1454,118,6.1068e-05,,Give me a generic exponential-backoff example in Python.
assistant-019,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.19,0.01,0.07,0.98,488.0710830038879,1458,118,6.1236e-05,,Remind me Friday at 15:00 to review retry strategies.
developer-019,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.25,0.97,0.19,0.02,286.41820800839923,1474,118,6.1908e-05,,"In demo-repo, implement bounded exponential backoff for provider 429s and cover it with tests."
chat-020,holdout,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.05,0.01,349.0737079991959,1454,118,6.1068e-05,,Explain least privilege for an AI agent in two paragraphs.
assistant-020,holdout,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.3,0.02,0.11,0.98,272.97424999414943,1457,118,6.1194e-05,,Schedule a reminder next week to review the least-privilege notes.
developer-020,holdout,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.27,0.94,0.11,0.02,282.3099590023048,1470,118,6.174e-05,,Inspect safeplane's MCP permissions and tighten any developer tool exposure that exceeds the workflow contract.
chat-021,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.07,0.01,305.77183299465105,1457,118,6.1194e-05,,Explain model_validator versus field_validator in Pydantic v2.
assistant-021,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.11,0.02,0.06,0.98,326.619125000434,1460,118,6.132e-05,,Remind me at 18:30 to study Pydantic validators.
developer-021,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.28,0.98,0.93,0.01,319.0706669993233,1464,118,6.1488e-05,,"In demo-repo, move the cross-field validation from a field validator to a model validator and update tests."
chat-022,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.12,0.02,0.06,0.01,261.7261249979492,1452,118,6.0984e-05,,Give me three principles for designing a predictable CLI.
assistant-022,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.16,0.02,0.07,0.98,294.59104101988487,1458,118,6.1236e-05,,Add a reminder tomorrow at 12:30 to review CLI design.
developer-022,calibration,minimal_pair,decisive,developer,developer,True,False,0.97,0.95,0.17,0.85,0.1,0.01,412.29983398807235,1472,118,6.1824e-05,,"In safeplane, make the CLI error for a missing --repo argument clearer without changing command semantics."
chat-023,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.1,0.02,0.06,0.01,280.4489159898367,1451,118,6.0942e-05,,How do fenced code blocks work in Markdown?
assistant-023,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.28,0.01,0.08,0.98,276.2729169917293,1454,118,6.1068e-05,,Remind me this evening to clean up my Markdown notes.
developer-023,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.17,0.98,0.09,0.01,289.9137499916833,1470,118,6.174e-05,,"In safeplane, fix the malformed fenced code block in docs/OPERATIONS.md."
chat-024,holdout,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.12,0.02,0.07,0.01,312.1955410169903,1452,118,6.0984e-05,,Explain expand-and-contract database migrations.
assistant-024,holdout,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.23,0.02,0.06,0.98,295.8246250054799,1453,118,6.1026e-05,,Schedule a reminder Friday morning to read about database migrations.
developer-024,holdout,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.37,0.95,0.93,0.01,612.1903749881312,1463,118,6.1446e-05,,"In demo-repo, write the bounded migration needed for the new nullable status column and add rollback notes."
chat-025,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.11,0.02,0.06,0.01,309.3665839987807,1450,118,6.09e-05,,What makes a good unit test name?
assistant-025,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.16,0.05,0.11,0.98,292.02333302237093,1461,118,6.1362e-05,,Remind me at 09:30 tomorrow to write unit tests for my exercise.
developer-025,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.24,0.98,0.11,0.01,281.5142090257723,1465,118,6.153e-05,,"In safeplane, add unit tests for the route-policy threshold calculation."
chat-026,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.11,0.02,0.07,0.01,277.49095801846124,1453,118,6.1026e-05,,Explain environment variables versus config files for application configuration.
assistant-026,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.16,0.02,0.06,0.98,273.25300002121367,1458,118,6.1236e-05,,Add a reminder at 13:00 to review my configuration notes.
developer-026,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.35,0.98,0.06,0.01,261.38758298475295,1469,118,6.1698e-05,,"In demo-repo, add an environment override for the request timeout and document it."
chat-027,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.09,0.02,0.06,0.01,280.82533401902765,1455,118,6.111e-05,,Explain at a high level what an LLM gateway does.
assistant-027,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.21,0.02,0.07,0.98,411.96579101961106,1453,118,6.1026e-05,,Remind me tomorrow afternoon to compare model gateway options.
developer-027,calibration,minimal_pair,decisive,developer,developer,True,False,0.76,0.6599999999999999,0.39,0.61,0.44,0.02,310.7316669775173,1459,118,6.1278e-05,,"In safeplane, route the new experimental model call through the existing model gateway interface."
chat-028,holdout,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.09,0.01,330.24387501063757,1451,118,6.0942e-05,,Explain what a unified diff patch contains.
assistant-028,holdout,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.21,0.02,0.2,0.98,287.1485829818994,1459,118,6.1278e-05,,Schedule a reminder at 10:30 to review how git apply works.
developer-028,holdout,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.63,0.96,0.2,0.02,276.81979100452736,1470,118,6.174e-05,,"In safeplane, produce a focused patch that updates the workflow description and its related test."
chat-029,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.18,0.02,0.07,0.01,267.2165830153972,1453,118,6.1026e-05,,Give me a generic checklist for reviewing a service architecture.
assistant-029,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.16,0.01,0.06,0.98,269.0192910085898,1454,118,6.1068e-05,,Remind me next Wednesday morning to review my architecture checklist.
developer-029,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.24,0.98,0.11,0.02,280.9801669791341,1470,118,6.174e-05,,"Inspect the safeplane repository and explain how the harness, model gateway, and MCP services interact."
chat-030,calibration,minimal_pair,decisive,chat,chat,True,False,1.0,1.0,0.28,0.03,0.06,0.01,264.14891600143164,1459,118,6.1278e-05,,Rewrite this sentence to be clearer: the component does stuff before it runs.
assistant-030,calibration,minimal_pair,decisive,assistant,assistant,True,False,1.0,1.0,0.14,0.01,0.06,0.98,357.377667009132,1459,118,6.1278e-05,,Remind me Friday at 11:00 to finish my documentation draft.
developer-030,calibration,minimal_pair,decisive,developer,developer,True,False,1.0,1.0,0.24,0.98,0.93,0.01,245.31075000413693,1460,118,6.132e-05,,"In demo-repo, improve the configuration documentation so every supported environment variable has an example."
chat-031,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.06,0.01,0.06,0.01,403.71629199944437,1454,118,6.1068e-05,,Explain DNS caching in plain English with one concrete example.
chat-032,holdout,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.05,0.01,328.78195800003596,1454,118,6.1068e-05,,Explain TLS certificates in plain English with one concrete example.
chat-033,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.06,0.01,287.60837501613423,1454,118,6.1068e-05,,Explain vector databases in plain English with one concrete example.
chat-034,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.08,0.01,323.1619580183178,1454,118,6.1068e-05,,Explain event sourcing in plain English with one concrete example.
chat-035,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.07,0.01,308.51912501384504,1454,118,6.1068e-05,,Explain CQRS in plain English with one concrete example.
chat-036,holdout,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.06,0.01,308.81845799740404,1454,118,6.1068e-05,,Explain CAP theorem in plain English with one concrete example.
chat-037,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.06,0.02,0.06,0.01,272.0152089896146,1454,118,6.1068e-05,,Explain dependency injection in plain English with one concrete example.
chat-038,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.06,0.01,271.29245799733326,1456,118,6.1152e-05,,Explain semantic versioning in plain English with one concrete example.
chat-039,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.06,0.01,314.6071660157759,1457,118,6.1194e-05,,Explain OAuth 2.0 in plain English with one concrete example.
chat-040,holdout,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.06,0.01,0.05,0.01,292.7232920192182,1455,118,6.111e-05,,Explain JWTs in plain English with one concrete example.
chat-041,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.07,0.01,324.9692499812227,1454,118,6.1068e-05,,Explain rate limiting in plain English with one concrete example.
chat-042,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.06,0.01,0.06,0.01,354.0256670094095,1454,118,6.1068e-05,,Explain Bloom filters in plain English with one concrete example.
chat-043,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.06,0.01,0.06,0.01,293.86962502030656,1454,118,6.1068e-05,,Explain binary search in plain English with one concrete example.
chat-044,holdout,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.06,0.01,291.8059160001576,1455,118,6.111e-05,,Explain Big-O notation in plain English with one concrete example.
chat-045,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.05,0.01,298.9583339949604,1454,118,6.1068e-05,,Explain database indexes in plain English with one concrete example.
chat-046,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.06,0.01,351.2890420097392,1454,118,6.1068e-05,,Explain message queues in plain English with one concrete example.
chat-047,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.06,0.01,0.06,0.01,314.74266698933206,1455,118,6.111e-05,,Explain webhooks in plain English with one concrete example.
chat-048,holdout,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.06,0.01,258.0792079970706,1453,118,6.1026e-05,,Explain SSE in plain English with one concrete example.
chat-049,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.06,0.01,0.06,0.01,299.17899999418296,1456,118,6.1152e-05,,Explain WebSockets in plain English with one concrete example.
chat-050,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.07,0.01,370.61037501553074,1456,118,6.1152e-05,,Explain content-addressed storage in plain English with one concrete example.
chat-051,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.06,0.01,0.06,0.01,378.22445898200385,1455,118,6.111e-05,,Explain Merkle trees in plain English with one concrete example.
chat-052,holdout,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.06,0.01,333.634583017556,1454,118,6.1068e-05,,Explain garbage collection in plain English with one concrete example.
chat-053,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.08,0.01,0.05,0.01,290.7861249987036,1455,118,6.111e-05,,Explain immutability in plain English with one concrete example.
chat-054,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.06,0.01,284.09308299887925,1454,118,6.1068e-05,,Explain functional programming in plain English with one concrete example.
chat-055,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.05,0.01,287.6449580071494,1455,118,6.111e-05,,Explain normalization in databases in plain English with one concrete example.
chat-056,holdout,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.01,0.06,0.01,374.0797500067856,1454,118,6.1068e-05,,Explain eventual consistency in plain English with one concrete example.
chat-057,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.08,0.02,0.06,0.01,273.6425000184681,1455,118,6.111e-05,,Explain backpressure in plain English with one concrete example.
chat-058,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.07,0.01,256.566208001459,1456,118,6.1152e-05,,Explain circuit breakers in plain English with one concrete example.
chat-059,calibration,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.06,0.01,311.067542003002,1454,118,6.1068e-05,,Explain feature flags in plain English with one concrete example.
chat-060,holdout,general_explanation,decisive,chat,chat,True,False,1.0,1.0,0.07,0.02,0.07,0.01,299.0487079950981,1455,118,6.111e-05,,Explain blue-green deployment in plain English with one concrete example.
chat-061,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.12,0.01,0.05,0.01,299.5270840183366,1453,118,6.1026e-05,,Draft a concise thank-you note after a job interview.
chat-062,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.16,0.01,0.06,0.02,289.67774999910034,1452,118,6.0984e-05,,Draft a calm customer reply about a delayed shipment.
chat-063,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.13,0.01,0.06,0.01,325.9962909796741,1455,118,6.111e-05,,Draft three titles for a talk about remote onboarding.
chat-064,holdout,writing,decisive,chat,chat,True,False,0.98,0.98,0.4,0.02,0.08,0.01,270.0170000025537,1452,118,6.0984e-05,,Draft a short project status update from rough bullets.
chat-065,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.19,0.02,0.09,0.03,308.3410409744829,1451,118,6.0942e-05,,Draft a neutral meeting agenda for a retrospective.
chat-066,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.14,0.01,0.05,0.03,261.6041250003036,1451,118,6.0942e-05,,Draft a friendly invitation to a neighborhood dinner.
chat-067,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.14,0.01,0.06,0.01,314.0755829808768,1453,118,6.1026e-05,,Draft a concise LinkedIn post about engineering teamwork.
chat-068,holdout,writing,decisive,chat,chat,True,False,1.0,1.0,0.3,0.01,0.06,0.02,253.37025002227165,1457,118,6.1194e-05,,Draft a two-paragraph explanation of a product delay for executives.
chat-069,calibration,writing,decisive,chat,chat,True,False,0.99,1.0,0.15,0.01,0.06,0.02,291.1119170021266,1451,118,6.0942e-05,,Draft a checklist for preparing a conference talk.
chat-070,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.38,0.01,0.07,0.01,291.4240419922862,1455,118,6.111e-05,,Draft a short bio for a software engineer speaking at a meetup.
chat-071,calibration,writing,decisive,chat,chat,True,False,0.77,0.6599999999999999,0.26,0.01,0.06,0.06,302.9369589930866,1456,118,6.1152e-05,,Draft a polite request to reschedule a non-calendar hypothetical meeting.
chat-072,holdout,writing,decisive,chat,chat,True,False,1.0,1.0,0.18,0.02,0.08,0.02,254.5307920081541,1449,118,6.0858e-05,,Draft a generic incident-update template.
chat-073,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.2,0.02,0.07,0.01,285.71070797625,1451,118,6.0942e-05,,Draft a short FAQ entry explaining password reset.
chat-074,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.27,0.02,0.1,0.02,266.45095797721297,1455,118,6.111e-05,,Draft a simple onboarding checklist for a new teammate.
chat-075,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.19,0.01,0.06,0.01,304.38816599780694,1453,118,6.1026e-05,,Draft a product-description paragraph for a note-taking app.
chat-076,holdout,writing,decisive,chat,chat,True,False,1.0,1.0,0.12,0.01,0.07,0.01,331.42779098125175,1455,118,6.111e-05,,Draft a neutral pros-and-cons comparison of remote versus office work.
chat-077,calibration,writing,decisive,chat,chat,True,False,1.0,1.0,0.27,0.01,0.07,0.01,296.77845898550004,1454,118,6.1068e-05,,Draft a three-bullet summary of a fictional quarterly update.
chat-078,calibration,writing,decisive,chat,chat,True,False,0.96,0.94,0.13,0.01,0.09,0.05,380.63454200164415,1453,118,6.1026e-05,,Draft a friendly reminder message template for returning borrowed books.
